status,name,solver,mem,nvar,time,memory,num_iter,nvmops,neval_obj,init_eval_obj_time,init_eval_obj_mem,init_eval_obj_alloc,neval_grad,init_eval_grad_time,init_eval_grad_mem,init_eval_grad_alloc
first_order,NZF1,LBFGSSolver,66,91,0.001728525,0.247824,59,59,70,1.062e-6,0.000592,3,64,1.6823e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001688859,0.247824,59,59,70,1.172e-6,0.000592,3,64,1.8275e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001719106,0.247824,59,59,70,1.122e-6,0.000592,3,64,1.6451e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.0017254689999999999,0.247824,59,59,70,1.223e-6,0.000592,3,64,1.8245e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001730849,0.247824,59,59,70,1.092e-6,0.000592,3,64,1.6582e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001735288,0.247824,59,59,70,1.092e-6,0.000592,3,64,1.6571e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001734817,0.247824,59,59,70,1.232e-6,0.000592,3,64,1.8415e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001721932,0.247824,59,59,70,1.102e-6,0.000592,3,64,1.6582e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001721993,0.247824,59,59,70,1.092e-6,0.000592,3,64,1.6502e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001729336,0.247824,59,59,70,1.092e-6,0.000592,3,64,1.6511e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001772548,0.247824,59,59,70,2.324e-6,0.000592,3,64,2.6059e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001728434,0.247824,59,59,70,1.383e-6,0.000592,3,64,1.9778e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001737942,0.247824,59,59,70,1.212e-6,0.000592,3,64,1.8365e-5,0.00144,5
