Problem name,Solver,mem=,Runtime(ns),Memory used(bytes),Number of steps to solve(iterations),Number of vector-matrix opeartions
AMPGO04,lbfgs,62,98292.0,264232.0,1,3670
AMPGO04,lbfgs,63,97834.0,266088.0,1,3684
AMPGO04,lbfgs,64,98000.0,267944.0,1,3698
AMPGO04,lbfgs,65,95959.0,269800.0,1,3712
AMPGO04,lbfgs,66,98333.0,271784.0,1,3726
AMPGO04,lbfgs,67,100125.0,273720.0,1,3740
AMPGO04,lbfgs,68,96000.0,275576.0,1,3754
AMPGO04,lbfgs,69,99666.0,277432.0,1,3768
AMPGO04,lbfgs,70,107791.0,279480.0,1,3782
AMPGO04,lbfgs,71,97583.0,281336.0,1,3796
AMPGO04,lbfgs,72,97250.0,283272.0,1,3810
AMPGO04,lbfgs,73,101459.0,285128.0,1,3824
AMPGO04,lbfgs,74,97958.0,286984.0,1,3838
AMPGO04,lbfgs,75,102250.0,288840.0,1,3852
AMPGO04,lbfgs,76,103750.0,290888.0,1,3866
AMPGO04,lbfgs,77,109333.0,292856.0,1,3880
AMPGO04,lbfgs,78,99042.0,294712.0,1,3894
AMPGO04,lbfgs,79,103584.0,296568.0,1,3908
AMPGO04,lbfgs,80,102500.0,298424.0,1,3922
AMPGO04,lbfgs,81,103291.0,300280.0,1,3936
AMPGO04,lbfgs,82,103125.0,335160.0,1,3950
AMPGO04,lbfgs,83,109208.0,337016.0,1,3964
AMPGO04,lbfgs,84,101833.0,339000.0,1,3978
AMPGO04,lbfgs,85,102375.0,340856.0,1,3992
AMPGO04,lbfgs,86,101083.0,342712.0,1,4006
AMPGO04,lbfgs,87,101583.0,344568.0,1,4020
AMPGO04,lbfgs,88,107750.0,346424.0,1,4034
AMPGO04,lbfgs,89,105625.0,348280.0,1,4048
AMPGO04,lbfgs,90,108917.0,350456.0,1,4062
AMPGO04,lbfgs,91,107208.0,352312.0,1,4076
AMPGO04,lbfgs,92,107875.0,354312.0,1,4090
AMPGO04,lbfgs,93,110667.0,356168.0,1,4104
AMPGO04,lbfgs,94,102542.0,358024.0,1,4118
AMPGO04,lbfgs,95,104666.0,359880.0,1,4132
AMPGO04,lbfgs,96,106208.0,361736.0,1,4146
AMPGO04,lbfgs,97,104542.0,363592.0,1,4160
AMPGO04,lbfgs,98,107959.0,365448.0,1,4174
AMPGO04,lbfgs,99,107000.0,367304.0,1,4188
AMPGO04,lbfgs,100,105750.0,369480.0,1,4202
AMPGO05,lbfgs,1,82583.0,18456.0,1,4216
AMPGO05,lbfgs,2,80042.0,22376.0,1,4230
AMPGO05,lbfgs,3,79792.0,25784.0,1,4244
AMPGO05,lbfgs,4,78750.0,29256.0,1,4258
AMPGO05,lbfgs,5,81792.0,32664.0,1,4272
AMPGO05,lbfgs,6,82125.0,36136.0,1,4286
AMPGO05,lbfgs,7,82375.0,39544.0,1,4300
AMPGO05,lbfgs,8,81917.0,43016.0,1,4314
AMPGO05,lbfgs,9,80292.0,46936.0,1,4328
AMPGO05,lbfgs,10,80583.0,50408.0,1,4342
AMPGO05,lbfgs,11,83917.0,53816.0,1,4356
AMPGO05,lbfgs,12,83750.0,57288.0,1,4370
AMPGO05,lbfgs,13,83000.0,60696.0,1,4384
AMPGO05,lbfgs,14,84375.0,64168.0,1,4398
AMPGO05,lbfgs,15,84042.0,67576.0,1,4412
AMPGO05,lbfgs,16,81875.0,71048.0,1,4426
AMPGO05,lbfgs,17,82125.0,74968.0,1,4440
AMPGO05,lbfgs,18,87042.0,78456.0,1,4454
AMPGO05,lbfgs,19,89458.0,81848.0,1,4468
AMPGO05,lbfgs,20,84834.0,85336.0,1,4482
AMPGO05,lbfgs,21,86042.0,120472.0,1,4496
AMPGO05,lbfgs,22,84083.0,122424.0,1,4510
AMPGO05,lbfgs,23,85542.0,124280.0,1,4524
AMPGO05,lbfgs,24,85875.0,126248.0,1,4538
AMPGO05,lbfgs,25,87708.0,128104.0,1,4552
AMPGO05,lbfgs,26,86292.0,130024.0,1,4566
