status,name,solver,nvar,time,memory,num_iter,neval_obj,init_eval_obj_time,init_eval_obj_mem,init_eval_obj_alloc,neval_grad,init_eval_grad_time,init_eval_grad_mem,init_eval_grad_alloc,is_init_run
first_order,curly30,LBFGSSolver,100,0.8142416720000001,42.010704,14,30,0.116540705,20.63756,400919,16,0.380621449,30.974696,612764,true
first_order,curly30,LBFGSSolver,100,0.36088157499999995,4.069136,14,30,7.675e-6,0.000592,3,16,0.000116353,0.00152,5,false
first_order,dixmaane,LBFGSSolver,99,2.211723281,53.624976,15,40,0.18667235,19.65948,386277,17,0.434447779,33.274064,659624,true
first_order,dixmaane,LBFGSSolver,99,1.5986201199999999,1.268992,15,40,1.3425e-5,0.000592,3,17,0.000124699,0.00144,5,false
first_order,dixmaanf,LBFGSSolver,99,1.010153603,52.543016,10,12,0.070919303,8.136408,159617,12,0.469893028,28.9648,571224,true
first_order,dixmaanf,LBFGSSolver,99,0.39122165600000003,0.798,10,12,8.326e-6,0.000592,3,12,0.00012543,0.00144,5,false
first_order,dixmaang,LBFGSSolver,99,0.039604296,1.025984,16,44,1.1142e-5,0.000592,3,16,0.000132304,0.00144,5,true
first_order,dixmaang,LBFGSSolver,99,0.039508583,1.025984,16,44,8.907e-6,0.000592,3,16,0.000124498,0.00144,5,false
first_order,dixmaanh,LBFGSSolver,99,0.040963589999999994,0.962352,15,37,9.529e-6,0.000592,3,15,0.000133566,0.00144,5,true
first_order,dixmaanh,LBFGSSolver,99,0.040724783,0.962352,15,37,1.0399e-5,0.000592,3,15,0.000132754,0.00144,5,false
first_order,dixmaani,LBFGSSolver,99,1.0426439809999999,56.097336,12,16,0.173559792,20.831104,410374,14,0.396411627,29.454344,582196,true
first_order,dixmaani,LBFGSSolver,99,0.39357624599999996,3.690208,12,16,2.2704e-5,0.000592,3,14,0.000171168,0.00144,5,false
first_order,dixmaanj,LBFGSSolver,99,1.044295155,55.632496,18,40,0.083747597,9.225008,181114,18,0.37854926,29.057312,573135,true
first_order,dixmaanj,LBFGSSolver,99,0.415495394,3.818656,18,40,1.4999e-5,0.000592,3,18,0.000165958,0.00144,5,false
first_order,dixmaank,LBFGSSolver,99,0.079222659,2.32256,15,37,1.5259e-5,0.000592,3,15,0.000169625,0.00144,5,true
first_order,dixmaank,LBFGSSolver,99,0.07918027799999999,2.32256,15,37,1.3345e-5,0.000592,3,15,0.000165587,0.00144,5,false
first_order,dixmaanl,LBFGSSolver,99,0.091927456,2.77456,18,56,1.4839e-5,0.000592,3,18,0.000172941,0.00144,5,true
first_order,dixmaanl,LBFGSSolver,99,0.09160054,2.77456,18,56,1.3495e-5,0.000592,3,18,0.000168613,0.00144,5,false
first_order,dixmaanm,LBFGSSolver,99,1.082676268,54.93864,8,10,0.159888804,24.22672,477659,10,0.42058313,29.332312,577330,true
first_order,dixmaanm,LBFGSSolver,99,0.39399922600000004,2.90536,8,10,2.8054e-5,0.000592,3,10,0.00023501,0.00144,5,false
first_order,dixmaann,LBFGSSolver,99,1.151943838,57.500456,21,44,0.095830473,11.914696,234372,21,0.399368492,29.173696,575365,true
first_order,dixmaann,LBFGSSolver,99,0.510095171,5.431936,21,44,2.7012e-5,0.000592,3,21,0.000241503,0.00144,5,false
