status,name,solver,mem,nvar,time(ns),memory(MB),nvmops,neval_obj,neval_grad
first_order,arglina,LBFGSSolver,69,100,144907.0,257136.0,1,78326,78326
first_order,arglina,LBFGSSolver,70,100,145027.0,260784.0,1,77844,77844
first_order,arglina,LBFGSSolver,71,100,145408.0,264240.0,1,77844,77844
first_order,arglina,LBFGSSolver,72,100,146019.0,267776.0,1,77364,77364
first_order,arglina,LBFGSSolver,73,100,146851.0,271232.0,1,77364,77364
first_order,arglina,LBFGSSolver,74,100,146480.0,274688.0,1,77364,77364
first_order,arglina,LBFGSSolver,75,100,146841.0,278144.0,1,76886,76886
first_order,arglina,LBFGSSolver,76,100,146921.0,281792.0,1,76886,76886
first_order,arglina,LBFGSSolver,77,100,147282.0,285360.0,1,76886,76886
first_order,arglina,LBFGSSolver,78,100,147712.0,288816.0,1,76410,76410
first_order,arglina,LBFGSSolver,79,100,147913.0,292272.0,1,76410,76410
first_order,arglina,LBFGSSolver,80,100,148434.0,295728.0,1,76410,76410
first_order,arglina,LBFGSSolver,81,100,148865.0,299184.0,1,75936,75936
first_order,arglina,LBFGSSolver,82,100,149004.0,302896.0,1,75936,75936
first_order,arglina,LBFGSSolver,83,100,149576.0,306352.0,1,75464,75464
first_order,arglina,LBFGSSolver,84,100,149406.0,309936.0,1,75464,75464
first_order,arglina,LBFGSSolver,85,100,150498.0,313392.0,1,75464,75464
first_order,arglina,LBFGSSolver,86,100,150408.0,316848.0,1,74994,74994
first_order,arglina,LBFGSSolver,87,100,151009.0,320304.0,1,74994,74994
first_order,arglina,LBFGSSolver,88,100,151800.0,323760.0,1,74526,74526
first_order,arglina,LBFGSSolver,89,100,151670.0,327216.0,1,74526,74526
first_order,arglina,LBFGSSolver,90,100,152031.0,330992.0,1,74526,74526
first_order,arglina,LBFGSSolver,91,100,152171.0,334448.0,1,74060,74060
first_order,arglina,LBFGSSolver,92,100,152852.0,338048.0,1,74060,74060
first_order,arglina,LBFGSSolver,93,100,153393.0,341504.0,1,73596,73596
first_order,arglina,LBFGSSolver,94,100,153393.0,344960.0,1,73596,73596
first_order,arglina,LBFGSSolver,95,100,153644.0,348416.0,1,73596,73596
